stopword
가
가게
가격
가네
가능
가령
가변
가시
가십
가입
가정
가족
가지
가지각색
가치
각
각각
각국
각자
각종
각주
간
간격
간주
감
감사
감소
값
값어치
강
강의
강점
강제
강조
강좌
강화
개
개념
개발
개별
개수
개요
개의치
개인
개점
개정
거대
거리
거의
거짓
건물
것
게시판
결과
결과물
결국
결정
결함
결혼
경로
경우
경쟁
경험
계산
계속
계절
계획
고
고등학교
고등학생
고려
고로
고모
고모부
고사
고사장
고속도로
고정
곧
곱하기
곳
공간
공개
공공
공동
공부
공식
공유
공장
공통
공통점
과
과거
과업
과일
과정
관
관계
관계자
관련
관리
관망
관심
관심사
관여
관점
광경
교대
교수
교시
교외
교재
교환
구
구경
구문
구별
구분
구성
구성원
구조
구축
구현
국
국가
국내
군인
궁극
궤
규
규칙
균형
그
그간
그날
그때
그때그때
그래서
그래프
그러나
그룹
그림
그저
극
극복
근접
글
금지
긍정
기
기계
기관
기능
기대
기반
기법
기본
기술
기억
기업
기여
기울기
기원
기입
기점
기존
기준
기차
기초
기타
기호
기회
길
길이
김
까닭
까지
꼬리말
끝
나
나누기
나라
나머지
나열
나이
나중
나흘
날
날짜
남
남극
남매
남북
남음
남자
남편
낭
내
내국
내부
내용
냇가
냇물
너
너비
네
네모
넷
년
노력
논리
논의
농촌
누나
누님
느
는
능
능력
니즘
님
다
다각화
다른
다리
다섯
다소
다수
다양
다운
다운로드
다음
다중
단
단계
단기
단순
단어
단위
단일
단점
단지
단체
닫기
달
달성
담당
답
당대
당장
대
대결
대량
대부분
대비
대상
대상자
대신
대안
대입
대지
대체
대표
대학
대학교
대학생
대화
대회
더하기
도
도구
도달
도로
도모
도시
도심
도움
도입
도전
도형
독자
돈
동
동그라미
동기
동등
동반자
동생
동서
동시
동시에
동안
동의
동일
동일시
동참
두
둘
뒤
뒷받침
드
들
듬
등
등등
등분
등장
디
따위
땅
때
또한
뜻
라인
란
람
래스
량
럼
레포트
련서
로
로써
료
류
르
를
린
릴
마
마무리
마음
마지막
마찬가지
막내
막냇동생
막론
만
만약
만족
맏이
말
매
매년
매력
매번
매분
매시간
매일
매일매일
매장
매형
맥락
머리말
멍청이
며칠
면
면역
명
명령
명시
몇
모
모녀
모두
모둠
모방
모서리
모습
모양
모음
모임
모자
모조품
목
목가
목가적
목록
목수
목적
목전
목차
목표
묘사
무단
무료
무리
무시
무한
무효
문
문답
문서
문자
문장
문제
문제점
문화
물
물건
물결
물길
